Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,131434,417057,60,66,13,12,611,LKD202,ZT,2792,1300,,3,185044,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131434_417057_060_066_013_012_0611_LKD202_ZT_02792_01300__3_185044_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,131941,417063,60,66,11,10,404,FQP874,ZT,2278,765,,2,185047,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131941_417063_060_066_011_010_0404_FQP874_ZT_02278_00765__2_185047_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,131948,417065,60,66,11,10,349,CSP096,ZT,1872,1063,,2,185048,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131948_417065_060_066_011_010_0349_CSP096_ZT_01872_01063__2_185048_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,132455,417075,60,66,17,15,384,JCN861,ZT,1887,1132,,2,185053,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132455_417075_060_066_017_015_0384_JCN861_ZT_01887_01132__2_185053_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,132927,417085,60,66,21,19,386,FBO673,ZT,1279,1011,,2,185058,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132927_417085_060_066_021_019_0386_FBO673_ZT_01279_01011__2_185058_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,133025,417089,60,66,0,0,0,HGZ243,ZT,54179,0,,1,185060,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_133025_417089_060_066_000_000_0000_HGZ243_ZT_54179_00000__1_185060_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,134949,417097,60,66,10,9,360,JUI836,ZT,3074,987,,2,185063,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_134949_417097_060_066_010_009_0360_JUI836_ZT_03074_00987__2_185063_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,135205,417101,60,66,0,0,0,LRV476,ZT,56831,0,,1,185065,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_135205_417101_060_066_000_000_0000_LRV476_ZT_56831_00000__1_185065_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,140806,417111,60,66,3,3,369,TSF892,ZT,6037,672,,2,185069,30005,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_140806_417111_060_066_003_003_0369_TSF892_ZT_06037_00672__2_185069_30005_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,141025,417117,60,66,0,0,0,HMY436,ZT,67034,0,,1,185071,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_141025_417117_060_066_000_000_0000_HMY436_ZT_67034_00000__1_185071_56732_1_12_10_47.jpg
